Sıra No,Başvuru No,Çevre Kimlik No,İşletme Adı,İşletme Adres,Tesisi İli,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,SertifikaId
69,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
70,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
71,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
72,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
73,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
74,558222,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",İSTANBUL, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.04.2022,2765
75,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
76,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
77,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Ambalaj Atığı Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
78,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
79,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
80,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
81,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
82,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
83,556675,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7 Bor/NİĞDE,NİĞDE, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,26.04.2022,2765
84,513514,287146390,ULUGÖL DEĞERLİ MADENLER SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ ORGANİZE SANAYİ BÖLGESİ MAHALLESİ ÇEVRE SANAYİ SİTESİ ÇEVRE 1. BLOK No:20 - 22, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.03.2021,2765
85,513514,287146390,ULUGÖL DEĞERLİ MADENLER SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ ORGANİZE SANAYİ BÖLGESİ MAHALLESİ ÇEVRE SANAYİ SİTESİ ÇEVRE 1. BLOK No:20 - 22, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.03.2021,2765
86,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
87,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
88,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
89,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
90,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
91,504437,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,HATAY, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.02.2021,2765
92,512777,226035996,KARABAY KUYUM.İNŞ.SAN.VE TİC.LTD.ŞTİ.,"İkitelli OSB Mah. Çevre Sanayi Sitesi 2.Blok No:28, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,16.02.2021,2765
93,512777,226035996,KARABAY KUYUM.İNŞ.SAN.VE TİC.LTD.ŞTİ.,"İkitelli OSB Mah. Çevre Sanayi Sitesi 2.Blok No:28, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,16.02.2021,2765
94,493718,276241710,ÇELİKLER KONTEYNER ATIK YÖN.ELEKTR. ELEKTRİK İNŞ.NAKL. SAN. VE TİC.LTD.ŞTİ - SARAYKENT ŞUBESİ,"SARAY Mahallesi, 128 CADDE, No:13-, KAHRAMANKAZAN / ANKARA",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,01.02.2021,2765
95,511592,287016082,GÜRSOY İZABELİK GERİ DÖNÜŞÜM METAL NAKLİYAT İNŞAAT TİCARET LİMİTED ŞİRKETİ - ARA Depolama ŞUBESİ,"SARAY Mahallesi, 127 CADDE, No: 14 -1, KAHRAMANKAZAN / ANKARA",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,25.01.2021,2765
96,507469,256944954,FATİH DEMİRÖZ - UZMAN RAMAT,"İKİTELLİ OSB Mahallesi, CİLA VE NİKELAJCILAR A BLOK SOKAK, No: 12-1/1, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.12.2020,2765
97,507469,256944954,FATİH DEMİRÖZ - UZMAN RAMAT,"İKİTELLİ OSB Mahallesi, CİLA VE NİKELAJCILAR A BLOK SOKAK, No: 12-1/1, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.12.2020,2765
98,554970,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",ANKARA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
99,554970,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",ANKARA, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
100,554970,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",ANKARA, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
101,554970,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",ANKARA, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
102,554970,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",ANKARA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
103,494772,278596704,ALİAĞA BELEDİYESİ PETROL ANONİM ŞİRKETİ - MANİSA ŞUBESİ,"EVRENOS MAHALLESİ, EVRANOS KÜME EVLER, No:51-, YUNUSEMRE / MANİSA",MANİSA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.09.2020,2765
104,491709,223641042,SON-KA GERİ DÖNÜŞÜMVE BERTERAF MÜŞV.MAK.LOJİSTİK LTD.ŞTİ.,Keresteciler Sanayi Sitesi 1. Cadde No:3-5 Saray Kahramankazan/ANKARA,ANKARA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,21.10.2020,2765
105,491709,223641042,SON-KA GERİ DÖNÜŞÜMVE BERTERAF MÜŞV.MAK.LOJİSTİK LTD.ŞTİ.,Keresteciler Sanayi Sitesi 1. Cadde No:3-5 Saray Kahramankazan/ANKARA,ANKARA, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,21.10.2020,2765
106,535823,224432254,MAKİNE VE KİMYA ENDÜSTRİSİ ANONİM ŞİRKETİ KIRIKKALE GERİ DÖNÜŞÜM ŞUBESİ,"FABRİKALAR Mahallesi, HURDALIK CADDE, No: 49 -1, MERKEZ, KIRIKKALE, Türkiye",KIRIKKALE,Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,28.09.2021,2765
107,535823,224432254,MAKİNE VE KİMYA ENDÜSTRİSİ ANONİM ŞİRKETİ KIRIKKALE GERİ DÖNÜŞÜM ŞUBESİ,"FABRİKALAR Mahallesi, HURDALIK CADDE, No: 49 -1, MERKEZ, KIRIKKALE, Türkiye",KIRIKKALE, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,28.09.2021,2765
108,535823,224432254,MAKİNE VE KİMYA ENDÜSTRİSİ ANONİM ŞİRKETİ KIRIKKALE GERİ DÖNÜŞÜM ŞUBESİ,"FABRİKALAR Mahallesi, HURDALIK CADDE, No: 49 -1, MERKEZ, KIRIKKALE, Türkiye",KIRIKKALE, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,28.09.2021,2765
109,492956,222447124,KORUMA KLOR ALKALİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"MENDERES Mahallesi, 898 SOKAK, No:6-6, KIRIKHAN / HATAY",HATAY,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,23.09.2020,2765
110,492956,222447124,KORUMA KLOR ALKALİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"MENDERES Mahallesi, 898 SOKAK, No:6-6, KIRIKHAN / HATAY",HATAY, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,23.09.2020,2765
111,497401,249813940,ÖZLEM RAMAT VE KUYUMCULUK-MEHMET KIVRAK,"İkitelli Organize Sanayi Bölgesi Çevre Sanayi Sitesi 2. Blok No:14-16, BAŞAKŞEHİR/İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,28.08.2020,2765
112,497401,249813940,ÖZLEM RAMAT VE KUYUMCULUK-MEHMET KIVRAK,"İkitelli Organize Sanayi Bölgesi Çevre Sanayi Sitesi 2. Blok No:14-16, BAŞAKŞEHİR/İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,28.08.2020,2765
113,531048,227030846,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ Depolama ŞUBESİ,"KARADENİZLİLER Mahallesi, BAŞYİĞİT CADDE, No:166-, BAŞİSKELE / KOCAELİ",KOCAELİ,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.08.2021,2765
114,521034,249804838,SABUR RAMAT - ÖZGÜR KURŞUN,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No:11-11, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,16.06.2021,2765
115,521034,249804838,SABUR RAMAT - ÖZGÜR KURŞUN,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No:11-11, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,16.06.2021,2765
116,533046,223528350,KESKİN RAMAT VE KUYUMCULUK TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No:7-7, BAŞAKŞEHİR/İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.09.2021,2765
117,533046,223528350,KESKİN RAMAT VE KUYUMCULUK TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No:7-7, BAŞAKŞEHİR/İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.09.2021,2765
118,487825,270329902,BURHAN GERİ DÖNÜŞÜM NAKLİYAT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ - KAHRAMANKAZAN ŞUBESİ,Dağyaka Mah. 2047 Cad. No: 8 Kahramankazan / ANKARA,ANKARA,PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.05.2020,2765
119,487825,270329902,BURHAN GERİ DÖNÜŞÜM NAKLİYAT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ - KAHRAMANKAZAN ŞUBESİ,Dağyaka Mah. 2047 Cad. No: 8 Kahramankazan / ANKARA,ANKARA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.05.2020,2765
120,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
121,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
122,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, Ambalaj Atığı Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
123,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
124,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
125,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
126,519252,234080254,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,"Sarıhamzalı Mahallesi, 47011 Sokak, No:11 A-, Seyhan / ADANA",ADANA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,17.02.2021,2765
127,486957,261890152,ERMETAL GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ TEHLİKELİ ATIK ARA Depolama ŞUBESİ,Hacıeyüplü Mah. 3162 Sokak No:23/B1 Merkezefendi/DENİZLİ,DENİZLİ,Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,20.05.2020,2765
128,486957,261890152,ERMETAL GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ TEHLİKELİ ATIK ARA Depolama ŞUBESİ,Hacıeyüplü Mah. 3162 Sokak No:23/B1 Merkezefendi/DENİZLİ,DENİZLİ, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,20.05.2020,2765
129,494568,222631242,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"AKÇABURGAZ Mahallesi, 3114. SOKAK, No: 6-, ESENYURT/İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,07.05.2020,2765
130,494568,222631242,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"AKÇABURGAZ Mahallesi, 3114. SOKAK, No: 6-, ESENYURT/İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,07.05.2020,2765
131,480236,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",MERSİN,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2020,2765
132,480236,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",MERSİN, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2020,2765
133,480236,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",MERSİN, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2020,2765
134,480236,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",MERSİN, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2020,2765
135,480236,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",MERSİN, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2020,2765
